Popularity ,Breed,Group,Size,Price Bracket,Price low,Price high,Lifetime Cost,Lifespan,Genetic Ailments,Grooming Score,Intelligence Category,Trainability,Training Repetitions,Odedience,Children Score
64,Pekingese,toy,small,mid-price,200,3800,"20,565",11.56,1,1,Lowest,74,80 to 100,<25,2
25,Pembroke Welsh Corgi,herding,small,budget,375,750,"23,978",12.25,9,2,Excellent,11,5 to 15,85,1
131,Petit Basset Griffon Vendeen,hound,small,budget,250,700,,12.7,0,-,Fair,62,40 to 80,30,-
151,Pharaoh Hound,hound,medium,mid-price,475,1000,"21,047",11.83,0,2,Above average,37,15 to 25,70,2
145,Plott,hound,medium,,,,,,0,-,,,,,-
115,Pointer,sporting,large,budget,50,500,"24,445",12.42,1,2,Average,43,25 to 40,50,1
159,Polish Lowland Sheepdog,herding,medium,,,,,10.8,,2,,,,,2
17,Pomeranian,toy,small,budget,200,1500,"15,792",9.67,1,2,Excellent,23,5 to 15,85,2
8,Poodle,non-sporting,medium,mid-price,500,1500,"21,237",11.95,2,2,Brightest,2,less than 5,95,2
56,Portuguese Water Dog,working,medium,,,,,11.42,0,-,,,,,-
26,Pug,toy,medium,budget,250,699,"18,527",11,1,2,Fair,57,40 to 80,30,1
156,Puli,herding,medium,mid-price,700,1000,,,0,-,Above average,27,15 to 25,70,-
162,Pyrenean Shepherd,herding,medium,,,,,,,-,,,,,-
126,Redbone Coonhound,hound,large,budget,300,700,,,0,-,,,,,-
44,Rhodesian Ridgeback,hound,large,mid-price,750,1300,"16,530",9.1,2,2,Average,52,25 to 40,50,2
10,Rottweiler,working,large,mid-price,300,1800,"18,886",9.11,3,2,Brightest,9,less than 5,95,2
49,Saint Bernard,working,large,mid-price,450,1500,"20,022",7.78,3,1,Fair,65,40 to 80,30,1
117,Saluki,hound,medium,high-end,1000,1800,"24,866",12,0,1,Average,43,25 to 40,50,1
69,Samoyed,working,medium,mid-price,795,1400,"25,352",12.44,1,2,Above average,33,15 to 25,70,1
105,Schipperke,non-sporting,small,budget,300,975,,13,4,-,Excellent,15,5 to 15,85,-
142,Scottish Deerhound,hound,large,,,,,8.7,2,-,Average,47,25 to 40,50,-
54,Scottish Terrier,terrier,small,mid-price,400,2200,"17,525",10.69,1,1,Fair,65,40 to 80,30,2
163,Sealyham Terrier,terrier,small,,,,,12.25,1,-,Fair,56,40 to 80,30,-
20,Shetland Sheepdog,herding,small,budget,150,1000,"21,006",12.53,5,1,Brightest,6,less than 5,95,1
53,Shiba Inu,non-sporting,small,mid-price,650,1400,,7,1,-,,,,,-
11,Shih Tzu,toy,small,budget,275,1200,"21,152",13.2,1,1,Lowest,70,80 to 100,<25,1
16,Siberian Husky,working,medium,budget,450,1000,"22,049",12.58,0,3,Average,45,25 to 40,50,1
85,Silky Terrier,toy,small,budget,250,500,,14.25,0,-,Above average,37,15 to 25,70,-
164,Skye Terrier,terrier,small,budget,500,600,,11,0,-,Fair,55,40 to 80,30,-
113,Smooth Fox Terrier,terrier,small,budget,450,750,,13.17,0,-,Average,40,25 to 40,50,-
52,Soft-Coated Wheaten Terrier,terrier,medium,mid-price,675,1000,,12.16,0,-,Average,40,25 to 40,50,-
123,Spinone Italiano,sporting,large,high-end,1100,2000,,9,,-,,,,,-
76,Staffordshire Bull Terrier,terrier,medium,mid-price,500,1500,"21,650",12.05,1,2,Average,49,25 to 40,50,1
91,Standard Schnauzer,working,medium,mid-price,50,1500,,,1,-,Excellent,18,5 to 15,85,-
161,Sussex Spaniel,sporting,small,,,,,11.17,0,2,,,,,3
153,Swedish Vallhund,herding,small,mid-price,550,1000,"22,839",14.17,,2,,,,,1
122,Tibetan Mastiff,working,large,high-end,800,6500,"23,747",11.92,,2,,,,,1
